date,avg_tmp,day_p,avg_wind,avg_rhum,t_sd,snow,avg_gtmp,season,CNT
2018-01-01,-1.3,,1.4,39.1,6.14,,-1.7,3,4950
2018-01-02,-1.8,,1.8,42,5.36,,-2.3,3,7136
2018-01-03,-4.7,,2.2,42.3,6.56,,-3.4,3,7156
2018-01-04,-4.7,,1.4,43,4.73,,-3.3,3,7102
2018-01-05,-3,,1.7,48.4,5.96,,-2.6,3,7705
2018-01-06,-2.8,,1.5,45.8,6.79,,-3.1,3,5681
2018-01-07,-0.8,,0.8,42.1,3.75,,-2.2,3,5220
2018-01-08,1.3,0.9,1.8,51.9,2.39,1,0.4,3,6309
2018-01-09,-4.2,0.5,2.9,59.4,5.6,0.5,-1.2,3,5988
2018-01-10,-7.5,0.3,3,52,6.85,0.3,-2.9,3,4476
2018-01-11,-11.1,,2.8,49.8,6.8,,-5.6,3,4337
2018-01-12,-10.2,0,1.7,35.4,7.11,,-6.1,3,4401
2018-01-13,-4.4,0.4,0.8,67.3,2.8,0.6,-2.8,3,3756
2018-01-14,0.6,,1.2,64.1,4.55,,-1.1,3,4675
2018-01-15,4.7,0.2,1.4,63.9,4.67,,1.5,3,6993
2018-01-16,3.5,0,0.7,59.1,2.4,,0.7,3,7421
2018-01-17,4.5,,1.2,64.1,4.17,,1.7,3,6990
2018-01-18,2.1,0,1.9,59.6,,,1.3,3,7054
2018-01-19,1,,1.6,43,6.56,,0.3,3,8329
2018-01-20,2.2,,1.6,57.6,4.51,,0.2,3,6148
2018-01-21,0.4,,1,36.6,5.88,,-0.5,3,5574
2018-01-22,0.2,3.3,1.5,56.5,1.91,1,-0.2,3,4929
2018-01-23,-11.7,,3.7,42,7.62,,-4.4,3,4263
2018-01-24,-14.2,,3.4,31.6,7.73,,-8.3,3,3370
2018-01-25,-14,,2.8,32.6,7.28,,-8.5,3,3307
2018-01-26,-14.8,,2.6,34.9,,,-9.3,3,3116
2018-01-27,-9.9,,1.4,37.4,7.5,,-7.5,3,2833
2018-01-28,-6.3,,2.6,36,6.38,,-4.4,3,3028
2018-01-29,-8.5,,2.7,35,7.68,,-6.2,3,4425
2018-01-30,-5.3,2.9,1.3,62,5.41,3.5,-4.6,3,3591
2018-01-31,-2.6,0,1.6,54.5,3.9,,-1.8,3,4104
2018-02-01,-4,,1.6,44.1,8.09,,-3.1,3,5821
2018-02-02,-2.4,,1.6,51.1,7.29,,-2.8,3,6557
2018-02-03,-7.3,0.5,3.8,47,13.65,0.3,-3.7,3,3499
2018-02-04,-9.5,,3.1,40.9,13.65,,-6.6,3,2642
2018-02-05,-9.4,,3,37.8,14.31,,-6.8,3,4213
2018-02-06,-10.1,,3.1,36.5,14.13,,-6.9,3,4257
2018-02-07,-8,,1.5,39.8,13.39,,-6.1,3,5028
2018-02-08,-4.4,,1.2,43.3,13.05,,-3.9,3,6114
2018-02-09,0.4,,1.1,43.9,6.56,,-1.3,3,6905
2018-02-10,-0.5,,3,47.4,9.41,,0.2,3,4829
2018-02-11,-6.1,0,2.7,42.5,12.26,,-3.4,3,3047
2018-02-12,-5.8,0,2.7,40.8,13.74,,-3.2,3,5231
2018-02-13,-0.8,,2.7,54.5,13.72,,-1.5,3,6863
2018-02-14,3.5,,2.6,51,6.92,,1.7,3,7477
2018-02-15,-0.7,,2.5,28,,,0.9,3,3935
2018-02-16,-1.1,,2.1,40.1,14.1,,-0.1,3,3047
2018-02-17,-3,,2.9,25.6,15.8,,-0.8,3,3494
2018-02-18,-0.4,,1.3,26.9,11.22,,-0.1,3,5191
2018-02-19,1.8,,1.5,48.6,10.08,,1.1,3,8563
2018-02-20,0.9,,2.5,41,13.56,,1.2,3,8899
2018-02-21,-0.9,,2.3,31.5,15.28,,0.2,3,8342
2018-02-22,1.3,0.4,2.2,59,9.45,0.4,0.2,3,8580
2018-02-23,4.2,3.7,1.9,81.1,9.43,3.7,2.4,3,6408
2018-02-24,2.4,,2.1,49.4,13.09,,2.8,3,7198
2018-02-25,1.9,,1.7,40.6,16.17,,2.7,3,7595
2018-02-26,3.1,,1.4,43.1,16.36,,2.5,3,10712
2018-02-27,4.2,,0.9,48.8,2.86,,0.4,3,10064
2018-02-28,4.6,25,2,73.3,1.71,,2,3,4230
2018-03-01,-0.2,0.5,3.8,61.9,17.94,,2.5,0,5761
2018-03-02,-0.7,,1.5,34,19.03,,1.1,0,9388
2018-03-03,7.9,0,1.5,38.1,18.04,,5.3,0,16029
2018-03-04,9.8,11.5,1.2,89.1,3.92,,7.6,0,5373
2018-03-05,5.5,3.5,2,67.5,13.8,,6.7,0,9943
2018-03-06,4.5,,1.6,46.8,17.85,,4.1,0,14028
2018-03-07,6.4,0.5,1.8,54,10.76,,4.4,0,12925
2018-03-08,4.6,4,1.9,76,10.3,,6.5,0,8812
2018-03-09,4.5,,1.5,63.3,10.22,,4.3,0,13573
2018-03-10,4.6,,2,65.8,16.45,,5,0,13324
2018-03-11,6.4,,2,51.3,18.11,,7.2,0,15136
2018-03-12,8,,1.4,45.8,13.92,,6.6,0,15913
2018-03-13,12.4,,1.8,60.5,14.17,,10.6,0,19514
2018-03-14,17,,2.3,58.8,15.46,,14.8,0,24911
2018-03-15,12.4,27,2.1,92.1,1.47,,12.2,0,7091
2018-03-16,7.1,,1.9,46.9,21.16,,9.6,0,18415
